0.005,80.3
0.01,38.5
0.015,34.0
0.02,32.8
0.025,32.4
0.03,33.5
0.035,32.9
0.04,33.5
0.045,33.5
0.05,31.5
0.055,31.2
0.06,31.1
0.065,31.6
0.07,32.2
0.075,31.9
0.08,32.9
0.085,32.3
0.09,31.6
0.095,31.7
0.1,31.9
0.105,31.9
0.11,31.8
0.115,31.3
0.12,30.8
0.125,34.4
0.13,31.8
0.135,30.7
0.14,32.0
0.145,31.0
0.15,30.8
0.155,31.0
0.16,30.8
0.165,31.1
0.17,33.9
0.175,33.3
0.18,30.8
0.185,31.0
0.19,30.9
0.195,30.9
0.2,30.6
0.205,30.8
0.21,31.4
0.215,30.6
0.22,30.8
0.225,30.9
0.23,30.9
0.235,30.6
0.24,31.0
0.245,30.3
0.25,31.1
