100000,218.4
200000,205.7
300000,199.5
400000,225.3
500000,199.9
600000,192.7
700000,193.3
800000,193.6
900000,190.2
1000000,252.8
1100000,212.1
1200000,218.3
1300000,194.3
1400000,194.0
1500000,202.7
1600000,186.6
1700000,191.2
1800000,191.4
1900000,187.8
2000000,195.5
2100000,202.4
2200000,198.3
2300000,197.8
2400000,215.1
2500000,240.0
2600000,253.4
2700000,243.9
2800000,242.9
2900000,239.0
3000000,241.4
3100000,233.4
3200000,234.4
3300000,249.6
3400000,237.9
3500000,232.4
3600000,230.1
3700000,232.3
3800000,232.8
3900000,231.4
4000000,230.3
4100000,233.6
4200000,237.1
4300000,234.7
4400000,238.9
4500000,229.3
4600000,238.5
4700000,236.3
4800000,235.2
4900000,232.8
5000000,233.2
